IdCabms,Descripcion,IdNivel,Partida1,Partida2,Estatus,Ccop,Pcontable,Descpartida,Historico_Clave_Cabm
C2960100126,INDICADOR PRESION ACEITE AUTOMOVIL,5,2301,2960,,29600126,1.1.5.1.8,,C030000102
C2460100052,LAMPARA INDICADORA ENTRADA LLAMADA TELEFONO,5,2404,2460,,24600052,1.1.5.1.3,,C030000106
C2460100054,LAMPARAS ELECTRICAS,5,2404,2460,,24600054,1.1.5.1.3,,C030000108
C2460100057,LUMINARIA,5,2404,2460,,24600057,1.1.5.1.3,,C030000110
C2960100147,MAGNETO DISTRIBUIDOR,5,2301,2960,,29600147,1.1.5.1.8,,C030000112
C2960100150,MARCHA,5,2301,2960,,29600150,1.1.5.1.8,,C030000114
C2960100152,MEDIDOR GASOLINA AUTOMOVIL,5,2301,2960,,29600152,1.1.5.1.8,,C030000116
C2960100153,MEDIDOR TEMPERATURA AUTOMOVIL,5,2301,2960,,29600153,1.1.5.1.8,,C030000118
C2960100154,MEDIDOR VELOCIMETRO,5,2301,2960,,29600154,1.1.5.1.8,,C030000120
C2960100156,MOTOR LIMPIADORES,5,2301,2960,,29600156,1.1.5.1.8,,C030000122
C2460100063,PASTILLAS (SONIDO),5,2404,2460,,24600063,1.1.5.1.3,,C030000124
C2460100064,PILA O BATERIA,5,2404,2460,,24600064,1.1.5.1.3,,C030000126
C2460100066,PLACA ENCHUFE,5,2404,2460,,24600066,1.1.5.1.3,,C030000128
C2960100170,PLATINOS,5,2301,2960,,29600170,1.1.5.1.8,,C030000130
C2460100067,PORTA FUSIBLES,5,2404,2460,,24600067,1.1.5.1.3,,C030000132
C2960100182,REGULADOR ELECTRONICO AUTOMOVIL,5,2301,2960,,29600182,1.1.5.1.8,,C030000134
C2960100184,REGULADOR VOLTAJE AUTOMOVIL,5,2301,2960,,29600184,1.1.5.1.8,,C030000136
C2460100069,RELEVO ELECTRICO,5,2404,2460,,24600069,1.1.5.1.3,,C030000138
C2460100070,RESISTENCIA ELECTRICA,5,2404,2460,,24600070,1.1.5.1.3,,C030000140
C2960100193,ROTOR ALTERNADOR,5,2301,2960,,29600193,1.1.5.1.8,,C030000142
C2960100201,SELENOIDE-MARCHA,5,2301,2960,,29600201,1.1.5.1.8,,C030000144
C2460100076,SEPARADOR MAGNETICO,5,2404,2460,,24600076,1.1.5.1.3,,C030000146
C2460100077,SOCKET O RECEPTACULO,5,2404,2460,,24600077,1.1.5.1.3,,C030000148
C2910100264,SOLDADURA AUTOGENA,5,2301,2910,,29100264,1.1.5.1.8,,C030000150
C2910100265,SOLDADURA ELECTRICA,5,2301,2910,,29100265,1.1.5.1.8,,C030000152
C2460100079,TERMINAL ELECTRICA,5,2301,2460,,24600079,1.1.5.1.3,,C030000154
C2460100081,TIMBRE O ZUMBADOR,5,2404,2460,,24600081,1.1.5.1.3,,C030000156
C2460100082,TRANSISTOR,5,2404,2460,,24600082,1.1.5.1.3,,C030000158
C2460100083,TUBO CUARZO,5,2404,2460,,24600083,1.1.5.1.3,,C030000160
C2460100085,TUBO NEON,5,2404,2460,,24600085,1.1.5.1.3,,C030000162
C2960100228,UNIDAD ILUMINACION AUTOMOVIL (NORMAL-HALOGENO),5,2301,2960,,29600228,1.1.5.1.8,,C030000164
C2460100013,BASE LAMPARA GAS NEON,5,2404,2460,,24600013,1.1.5.1.3,,C030000166
C2460100025,CENTRO DISTRIBUCION DISPOSITIVOS TABLEROS ELECTRICOS,5,2404,2460,,24600025,1.1.5.1.3,,C030000168
C2460100034,DESCONECTADOR FUSIBLES,5,2404,2460,,24600034,1.1.5.1.3,,C030000170
C2460100039,ELIMINADOR BATERIA,5,2404,2460,,24600039,1.1.5.1.3,,C030000172
C2460100043,ENLAZADOR TELEFONICO,5,2404,2460,,24600043,1.1.5.1.3,,C030000174
C2460100048,GUIA ONDA,5,2404,2460,,24600048,1.1.5.1.3,,C030000176
C2460100051,INTERRUPTOR,5,2404,2460,,24600051,1.1.5.1.3,,C030000178
C2460100058,MAGNETA TELEGRAFICA,5,2404,2460,,24600058,1.1.5.1.3,,C030000180
C2460100088,PERTIGA TELESCOPICA,5,2301,2460,,,1.1.5.1.3,,C030000182
C2460100091,BALASTRA (REACTOR),5,2402,2470,,24700016,1.1.5.1.3,,C030000184
C2460100022,CAPACITOR,5,2404,2460,,24600022,1.1.5.1.3,,C030000186
C2460100018,CABLE DE PLASTICO,5,2404,2460,,24600018,1.1.5.1.3,,C030000188
C2460100028,CINTURON DE PILAS,5,2404,2460,,24600028,1.1.5.1.3,,C030000190
C2460100033,CONTACTO MULTIPLE,5,2404,2460,,24600033,1.1.5.1.3,,C030000192
C2460100019,CABLES,5,2404,2460,,24600019,1.1.5.1.3,,C030000194
C2460100031,CONECTORES,5,2404,2460,,24600031,1.1.5.1.3,,C030000196
C2460100017,CABLE DE INTERCONEXION,5,2404,2460,,24600017,1.1.5.1.3,,C030000200
C2460100084,TUBO FLUORESCENTE,5,2404,2460,,24600084,1.1.5.1.3,,C030000202
C2460100001,ACRILICO (CUBIERTA PARA LAMPARA DE TUBOS FLUORESCENTE),5,2301,2460,,24600001,1.1.5.1.3,,C030000204
C2460100075,SENSOR PARA VACIO TIPO PIRANI,5,2404,2460,,24600075,1.1.5.1.3,,C030000206
C2460100074,SENSOR PARA VACIO TIPO PENNING,5,2404,2460,,24600074,1.1.5.1.3,,C030000208
C2460100050,IMAN PARA ORIENTAR MUESTRAS EN CAMPO MAGNETICO,5,2404,2460,,24600050,1.1.5.1.3,,C030000210
C2460100071,SEGURO DE SOBRECARGA PARA PLASTOGRAFO,5,2404,2460,,24600071,1.1.5.1.3,,C030000212
C2460100072,SEGURO DE SOBREPRESION (EVITA PRESION EXCESIVA DENTRO DEL EXTRUSOR),5,2404,2460,,24600072,1.1.5.1.3,,C030000214
C2460100073,SENSOR DE PRECISION DE VACIO,5,2404,2460,,24600073,1.1.5.1.3,,C030000216
C2460100080,TERMISTOR (MEDIDOR DE TEMPERATURA EN MEDIOS GASEOSOS O LIQUIDOS),5,2404,2460,,24600080,1.1.5.1.3,,C030000218
C2910100121,INDENTADOR PENETRADOR DE DIAMANTE (ACCESORIO DEL DUROMETRO),5,2301,2910,,29100121,1.1.5.1.8,,C030000220
C2460100014,BOBINA INDUCTORA,5,2404,2460,,24600014,1.1.5.1.3,,C030000222
C2460100044,FAROL,5,2404,2460,,24600044,1.1.5.1.3,,C030000226
C2460100086,VARILLA PARA TIERRA (INSTALACIONES ELECTRICAS),5,2404,2460,,24600086,1.1.5.1.3,,C030000228
C2990100012,MEDIDOR DE PASO DE AGUA (HOROMETRO) ACCESORIO,5,2301,2990,,29900012,1.1.5.1.8,,C030000230
C2460100060,PANEL PARA INSTALAR EQUIPOS ELECTRONICOS,5,2404,2460,,24600060,1.1.5.1.3,,C030000232
C2460100089,SENSOR ELECTRICO,5,2404,2460,,,1.1.5.1.3,,C030000234
C2460100103,LAMPARA DE EMERGENCIA RECARGABLE,5,2460,2460,,,1.1.5.1.3,,C030000238
C2210400097,CODORNIZ,5,2200,2210,,22100097,1.1.5.1.2,,C060400002
C2210400103,CONEJO,5,2200,2210,,22100103,1.1.5.1.2,,C060400004
C2210400140,GANSO,5,2200,2210,,22100140,1.1.5.1.2,,C060400006
C2210400145,GUAJOLOTE,5,2200,2210,,22100145,1.1.5.1.2,,C060400008
C2210400129,GALLINA,5,2200,2210,,22100129,1.1.5.1.2,,C060400014
C2210400130,GALLO,5,2200,2210,,22100130,1.1.5.1.2,,C060400016
C2210400096,CODORNIZ,5,2200,2210,,22100096,1.1.5.1.2,,C060405002
C2210400102,CONEJO,5,2200,2210,,22100102,1.1.5.1.2,,C060405004
C2210400139,GANSO,5,2200,2210,,22100139,1.1.5.1.2,,C060405006
C2210400146,GUAJOLOTE O PAVO,5,2200,2210,,22100146,1.1.5.1.2,,C060405008
C2210400275,VISCERAS,5,2200,2210,,22100275,1.1.5.1.2,,C060405014
C2220100010,GANADO ASNAL,5,2207,2220,,22200010,1.1.5.1.2,,C060605002
C2210400131,GANADO BOVINO,5,2200,2210,,22100131,1.1.5.1.2,,C060605004
C2210400133,GANADO CAPRINO,5,2200,2210,,22100133,1.1.5.1.2,,C060605006
C2220100012,GANADO EQUINO,5,2207,2220,,22200012,1.1.5.1.2,,C060605008
C2220100014,GANADO MULAR,5,2207,2220,,22200014,1.1.5.1.2,,C060605010
C2210400135,GANADO OVINO,5,2200,2210,,22100135,1.1.5.1.2,,C060605012
C2210400137,GANADO PORCINO,5,2200,2210,,22100137,1.1.5.1.2,,C060605014
C2220100011,GANADO ASNAL,5,2207,2220,,22200011,1.1.5.1.2,,C060610002
C2210400132,GANADO BOVINO,5,2200,2210,,22100132,1.1.5.1.2,,C060610004
C2210400134,GANADO CAPRINO,5,2200,2210,,22100134,1.1.5.1.2,,C060610006
C2220100013,GANADO EQUINO,5,2207,2220,,22200013,1.1.5.1.2,,C060610008
C2220100015,GANADO MULAR,5,2207,2220,,22200015,1.1.5.1.2,,C060610010
C2210400136,GANADO OVINO,5,2200,2210,,22100136,1.1.5.1.2,,C060610012
C2210400138,GANADO PORCINO,5,2200,2210,,22100138,1.1.5.1.2,,C060610014
C2960100005,AMORTIGUADOR,5,2301,2960,,29600005,1.1.5.1.8,,C090000002
C2960100010,ARBOL DE LEVAS,5,2301,2960,,29600010,1.1.5.1.8,,C090000004
C2960100011,ARREO HERRAJE DECORATIVO,5,2301,2960,,29600011,1.1.5.1.8,,C090000006
C2960100012,BALANCIN PUNTERIAS,5,2301,2960,,29600012,1.1.5.1.8,,C090000008
C2960100013,BALATA FRENOS,5,2301,2960,,29600013,1.1.5.1.8,,C090000010
C2960100014,BANDA DE TRANSMISION,5,2301,2960,,29600014,1.1.5.1.8,,C090000012
C2960100015,BARRA DIRECCION,5,2301,2960,,29600015,1.1.5.1.8,,C090000014
C2960100016,BARRA ESTABILIZADORA,5,2301,2960,,29600016,1.1.5.1.8,,C090000016
C2960100017,BARRA PROTECCION (ROLL-BAR),5,2301,2960,,29600017,1.1.5.1.8,,C090000018
C2960100018,BAYONETA MEDIR NIVELES (ACEITE MOTOR DIRECCION HIDRAULICA),5,2301,2960,,29600018,1.1.5.1.8,,C090000020
C2960100019,BENDIX MARCHA,5,2301,2960,,29600019,1.1.5.1.8,,C090000022
C2960100024,BOLA DIFERENCIAL,5,2301,2960,,29600024,1.1.5.1.8,,C090000024
C2960100025,BOMBA ACEITE,5,2301,2960,,29600025,1.1.5.1.8,,C090000026
C2960100026,BOMBA AGUA AUTOMOVIL,5,2301,2960,,29600026,1.1.5.1.8,,C090000028
C2960100027,BOMBA COMBUSTIBLE,5,2301,2960,,29600027,1.1.5.1.8,,C090000030
C2960100028,BOMBA FRENOS,5,2301,2960,,29600028,1.1.5.1.8,,C090000032
C2960100031,BRAZO DIRECCION,5,2301,2960,,29600031,1.1.5.1.8,,C090000034
C2960100032,BRAZO LOCO,5,2301,2960,,29600032,1.1.5.1.8,,C090000036
C2960100033,BRAZO PITMAN,5,2301,2960,,29600033,1.1.5.1.8,,C090000038
C2960100035,BUJE AUTOMOTRIZ,5,2301,2960,,29600035,1.1.5.1.8,,C090000040
C2960100039,BUZO PUNTERIAS,5,2301,2960,,29600039,1.1.5.1.8,,C090000042
C2960100040,CABEZA MOTOR AUTOMOVIL,5,2301,2960,,29600040,1.1.5.1.8,,C090000044
C2960100043,CADENA DISTRIBUCION,5,2301,2960,,29600043,1.1.5.1.8,,C090000046
C2960100059,CANDELERO CAJA VELOCIDADES,5,2301,2960,,29600059,1.1.5.1.8,,C090000048
C2960100060,CAPUCHON CABEZA MOTOR,5,2301,2960,,29600060,1.1.5.1.8,,C090000050
C2960100061,CARBURADOR,5,2301,2960,,29600061,1.1.5.1.8,,C090000052
C2960100063,CHICOTE (ACELERADOR-FRENOS-CLUTCH-TACOMETRO),5,2301,2960,,29600063,1.1.5.1.8,,C090000054
C2960100065,CILINDRO FRENO,5,2301,2960,,29600065,1.1.5.1.8,,C090000056
C2960100069,COFRE AUTOMOVIL,5,2301,2960,,29600069,1.1.5.1.8,,C090000058
C2960100071,COLADERA ACEITE MOTOR,5,2301,2960,,29600071,1.1.5.1.8,,C090000060
C2960100073,COLLARIN,5,2301,2960,,29600073,1.1.5.1.8,,C090000062
C2960100074,COLUMPIO MUELLE,5,2301,2960,,29600074,1.1.5.1.8,,C090000064
C2960100076,COPLE DIRECCION AUTOMOVIL,5,2301,2960,,29600076,1.1.5.1.8,,C090000066
C2960100078,CORONA Y PIÑON DIFERENCIAL,5,2301,2960,,29600078,1.1.5.1.8,,C090000068
C2960100080,CREMALLERA VOLANTE MOTOR,5,2301,2960,,29600080,1.1.5.1.8,,C090000070
C2960100083,CRUCETA CARDAN,5,2301,2960,,29600083,1.1.5.1.8,,C090000072
C2960100085,CUBRE POLVO HORQUILLA,5,2301,2960,,29600085,1.1.5.1.8,,C090000074
C2960100087,CUENCA MAROMA CLUTCH,5,2301,2960,,29600087,1.1.5.1.8,,C090000076
C2960100089,DIRECCION AUTOMOVIL,5,2301,2960,,29600089,1.1.5.1.8,,C090000078
C2960100090,DISCO CLUTCH (PASTA),5,2301,2960,,29600090,1.1.5.1.8,,C090000080
C2960100096,ELEVADOR CRISTAL PUERTA,5,2301,2960,,29600096,1.1.5.1.8,,C090000082
C2960100097,ENGRANE,5,2301,2960,,29600097,1.1.5.1.8,,C090000084
C2960100099,ESPACIADOR,5,2301,2960,,29600099,1.1.5.1.8,,C090000086
C2960100102,ESPEJO RETROVISOR (EXTERIOR-INTERIOR),5,2301,2960,,29600102,1.1.5.1.8,,C090000088
C2960100109,FLAUTA BALANCINES,5,2301,2960,,29600109,1.1.5.1.8,,C090000090
C2960100110,FLECHA CARDAN,5,2301,2960,,29600110,1.1.5.1.8,,C090000092
C2960100111,FLECHA DIFERENCIAL,5,2301,2960,,29600111,1.1.5.1.8,,C090000094
C2960100112,FLECHA MANDO TRANSMISION,5,2301,2960,,29600112,1.1.5.1.8,,C090000096
C2960100113,FLOTADOR CARBURADOR,5,2301,2960,,29600113,1.1.5.1.8,,C090000098
C2960100114,FLOTADOR TANQUE COMBUSTIBLE,5,2301,2960,,29600114,1.1.5.1.8,,C090000100
C2960100116,FUNDA BAYONETA ACEITE,5,2301,2960,,29600116,1.1.5.1.8,,C090000102
C2960100117,FUNDA VELOCIMETRO,5,2301,2960,,29600117,1.1.5.1.8,,C090000104
C2960100120,GUIA CLUTCH,5,2301,2960,,29600120,1.1.5.1.8,,C090000106
C2960100121,HOJA MUELLE AUTOMOVIL,5,2301,2960,,29600121,1.1.5.1.8,,C090000108
C2960100122,HORQUILLA CLUTCH,5,2301,2960,,29600122,1.1.5.1.8,,C090000110
C2960100123,HORQUILLA SUSPENSION (SUPERIOR-INFERIOR),5,2301,2960,,29600123,1.1.5.1.8,,C090000112
C2960100130,LIQUIDO FRENOS,5,2301,2960,,29600130,1.1.5.1.8,,C090000114
C2960100149,MANGO DIRECCION,5,2301,2960,,29600149,1.1.5.1.8,,C090000116
C2960100151,MAROMA CLUTCH,5,2301,2960,,29600151,1.1.5.1.8,,C090000118
C2960100157,MUELLE,5,2301,2960,,29600157,1.1.5.1.8,,C090000120
C2960100158,MULTIPLE ADMISION-ESCAPE,5,2301,2960,,29600158,1.1.5.1.8,,C090000122
C2960100159,OJO DE BUEY,5,2301,2960,,29600159,1.1.5.1.8,,C090000124
C2960100160,PANEL RADIADOR,5,2301,2960,,29600160,1.1.5.1.8,,C090000126
C2960100161,PARABRISAS,5,2301,2960,,29600161,1.1.5.1.8,,C090000128
C2960100163,PERCHA MUELLE,5,2301,2960,,29600163,1.1.5.1.8,,C090000130
C2960100166,PLACA SEGURO PORTA BALATAS,5,2301,2960,,29600166,1.1.5.1.8,,C090000132
C2960100171,PLATO FRENO,5,2301,2960,,29600171,1.1.5.1.8,,C090000134
C2960100172,PLATO OPRESOR CLUTCH,5,2301,2960,,29600172,1.1.5.1.8,,C090000136
C2960100173,PLATO PORTA BALATAS,5,2301,2960,,29600173,1.1.5.1.8,,C090000138
C2960100175,PORTA COLLARIN,5,2301,2960,,29600175,1.1.5.1.8,,C090000140
C2960100176,PORTA PLATINOS (DISTRIBUIDOR),5,2301,2960,,29600176,1.1.5.1.8,,C090000142
C2960100179,PURIFICADOR AUTOMOVIL (PULMON),5,2301,2960,,29600179,1.1.5.1.8,,C090000144
C2960100180,RADIADOR,5,2301,2960,,29600180,1.1.5.1.8,,C090000146
C2960100183,REGULADOR GAS,5,2301,2960,,29600183,1.1.5.1.8,,C090000148
C2960100185,REPUESTO BOMBA AGUA,5,2301,2960,,29600185,1.1.5.1.8,,C090000150
C2960100186,REPUESTO CILINDRO MAESTRO FRENOS,5,2301,2960,,29600186,1.1.5.1.8,,C090000152
C2960100187,RESORTE,5,2301,2960,,29600187,1.1.5.1.8,,C090000154
C2960100190,RIN,5,2301,2960,,29600190,1.1.5.1.8,,C090000156
C2960100194,ROTULA SUSPENSION,5,2301,2960,,29600194,1.1.5.1.8,,C090000158
C2960100196,SALPICADERA,5,2301,2960,,29600196,1.1.5.1.8,,C090000160
C2960100197,SEGURO FLECHA DIFERENCIAL,5,2301,2960,,29600197,1.1.5.1.8,,C090000162
C2960100198,SEGURO MANGO DIRECCION (RONDANA TUERCA CHAVETA),5,2301,2960,,29600198,1.1.5.1.8,,C090000164
C2960100199,SEGURO PERNO CAJA SATELITE,5,2301,2960,,29600199,1.1.5.1.8,,C090000166
C2960100200,SEGURO VALVULA,5,2301,2960,,29600200,1.1.5.1.8,,C090000168
C2960100202,SELLADOR JUNTAS,5,2301,2960,,29600202,1.1.5.1.8,,C090000170
C2960100203,SILENCIADOR,5,2301,2960,,29600203,1.1.5.1.8,,C090000172
C2960100204,SINFIN DIRECCION (FLECHA),5,2301,2960,,29600204,1.1.5.1.8,,C090000174
C2960100205,SINFIN PISTON POTENCIA (MUELLE),5,2301,2960,,29600205,1.1.5.1.8,,C090000176
C2960100206,SOPORTE ALTERNADOR,5,2301,2960,,29600206,1.1.5.1.8,,C090000178
C2960100207,SOPORTE AMORTIGUADOR,5,2301,2960,,29600207,1.1.5.1.8,,C090000180
C2960100208,SOPORTE CAJA VELOCIDADES,5,2301,2960,,29600208,1.1.5.1.8,,C090000182
C2960100209,SOPORTE HORQUILLA CLUTCH,5,2301,2960,,29600209,1.1.5.1.8,,C090000184
C2960100210,SOPORTE MAROMA CLUTCH BASTIDOR,5,2301,2960,,29600210,1.1.5.1.8,,C090000186
C2960100211,SOPORTE MAROMA CLUTCH MOTOR,5,2301,2960,,29600211,1.1.5.1.8,,C090000188
C2960100212,SOPORTE RESORTE VALVULAS,5,2301,2960,,29600212,1.1.5.1.8,,C090000190
C2960100213,TAMBOR RUEDA,5,2301,2960,,29600213,1.1.5.1.8,,C090000192
C2960100214,TANQUE COMBUSTIBLE AUTOMOVIL,5,2301,2960,,29600214,1.1.5.1.8,,C090000194
C2960100215,TAPA BALERO-RODILLO,5,2301,2960,,29600215,1.1.5.1.8,,C090000196
C2960100216,TAPA CARTER,5,2301,2960,,29600216,1.1.5.1.8,,C090000198
C2960100217,TAPA PUNTERIAS,5,2301,2960,,29600217,1.1.5.1.8,,C090000200
C2960100219,TEMPLADOR CLUTCH,5,2301,2960,,29600219,1.1.5.1.8,,C090000202
C2960100220,TERMOSTATO RADIADOR,5,2301,2960,,29600220,1.1.5.1.8,,C090000204
C2960100221,TIRANTE ESTABILIZADOR SUSPENSION,5,2301,2960,,29600221,1.1.5.1.8,,C090000206
C2960100226,TUMBA BURRO,5,2301,2960,,29600226,1.1.5.1.8,,C090000208
C2960100227,UNIDAD CALEFACCION-AIRE ACONDICIONADO AUTOMOVIL,5,2301,2960,,29600227,1.1.5.1.8,,C090000210
C2960100229,VALVULA ADMISION-ESCAPE,5,2301,2960,,29600229,1.1.5.1.8,,C090000212
C2960100230,VARILLA DIRECCION,5,2301,2960,,29600230,1.1.5.1.8,,C090000214
C2960100232,VARILLA PUNTERIA (VASTAGO),5,2301,2960,,29600232,1.1.5.1.8,,C090000216
C2960100233,VENTILADOR (ASPAS),5,2301,2960,,29600233,1.1.5.1.8,,C090000218
C2960100235,YUGO CAJA VELOCIDADES,5,2301,2960,,29600235,1.1.5.1.8,,C090000220
C2960100236,YUGO CRUCETA (EN FLECHA CARDAN),5,2301,2960,,29600236,1.1.5.1.8,,C090000222
C2960100237,YUGO DIFERENCIAL,5,2301,2960,,29600237,1.1.5.1.8,,C090000224
C2960100003,ALCANCIA (SERVICIO DE TRANSPORTE PUBLICO),5,2301,2960,,29600003,1.1.5.1.8,,C090000226
C2960100044,CAJA COLECTORA DINERO,5,2301,2960,,29600044,1.1.5.1.8,,C090000228
C2960100127,LIMPIA PARABRISAS (BRAZO Y PLUMA),5,2301,2960,,29600127,1.1.5.1.8,,C090000230
C2960100146,LODERAS (AUTOMOVIL),5,2301,2960,,29600146,1.1.5.1.8,,C090000232
C2960100234,VOLANTE AUTOMOVIL,5,2301,2960,,29600234,1.1.5.1.8,,C090000234
C2960100045,CAJA DE TRANSMISION,5,2301,2960,,29600045,1.1.5.1.8,,C090000236
C2960100062,CARTER,5,2301,2960,,29600062,1.1.5.1.8,,C090000238
C2960100064,CIGUEÑAL PARTE AUTOMOTRIZ,5,2301,2960,,29600064,1.1.5.1.8,,C090000240
C2960100218,TACOMETRO MECANICO,5,2301,2960,,29600218,1.1.5.1.8,,C090000242
C2960100106,FILTRO P/AIRE ACEITE GASOLINA,5,2301,2960,,29600106,1.1.5.1.8,,C090000244
C2960100155,MEDIO MOTOR AUTOMOVIL O CAMION,5,2301,2960,,29600155,1.1.5.1.8,,C090000246
C2960100057,CANASTILLA AUTOMOVIL,5,2301,2960,,29600057,1.1.5.1.8,,C090000248
C2960100115,FRENO ELECTRICO,5,2301,2960,,29600115,1.1.5.1.8,,C090000250
C2960100181,RALLADORES PARA METAL,5,2301,2960,,29600181,1.1.5.1.8,,C090000252
C2960100224,TRUSQUIN DE PUNTA,5,2301,2960,,29600224,1.1.5.1.8,,C090000254
C2960100095,ELECTROLITO P/ACUMULADOR,5,2301,2960,,29600095,1.1.5.1.8,,C090000256
C2730100001,ANZUELO,5,2703,2730,,27300001,1.1.5.1.6,,C120000002
C2730100002,ARCO,5,2703,2730,,27300002,1.1.5.1.6,,C120000004
C2730100004,ARNES PARACAIDAS,5,2703,2730,,27300004,1.1.5.1.6,,C120000006
C2730100007,ASADOR CARNES,5,2703,2730,,27300007,1.1.5.1.6,,C120000008
C2730100022,BOLA SORTEO,5,2703,2730,,27300022,1.1.5.1.6,,C120000010
C2730100023,BOLSA LONA DE DORMIR,5,2703,2730,,27300023,1.1.5.1.6,,C120000012
C2730100024,BOLSA TRIANGULO DOBLE,5,2703,2730,,27300024,1.1.5.1.6,,C120000014
